,SMILES,lambda_max_exp_nm,solvent,reference,description,mol_wt,abs_max_ev
0,c1cc[nH]c1,206,hexane,photochemCAD,pyrrole,67.04219916,6.019
1,c1ccncc1,251,acetonitrile,photochemCAD,pyridine,79.04219916,4.94
2,c1ncncn1,270,ethanol,photochemCAD,"1,3,5-triazine",81.0326971,4.592
3,Cc1ccccc1,261.75,cyclohexane,photochemCAD,toluene,92.06260026,4.737
4,Nc1ccccc1,288,cyclohexane,photochemCAD,aniline,93.05784922,4.305
5,Oc1ccccc1,270.75,cyclohexane,photochemCAD,phenol,94.04186481,4.579
6,O=Cc1ccc[nH]1,278,hexane,photochemCAD,pyrrole-2-carboxaldehyde,95.03711378,4.46
7,N#Cc1ccccc1,270,cyclohexane,photochemCAD,benzonitrile,103.0421992,4.592
8,C=Cc1ccccc1,248,cyclohexane,photochemCAD,styrene,104.0626003,4.999
9,O=Cc1ccccc1,242,cyclohexane,photochemCAD,benzaldehyde,106.0418648,5.123
10,Cc1ccccc1C,263,cyclohexane,photochemCAD,o-xylene,106.0782503,4.714
11,Cc1ccc(C)cc1,275,cyclohexane,photochemCAD,p-xylene,106.0782503,4.509
12,Nc1ccc(N)cc1,251,acetonitrile,photochemCAD,p-phenylenediamine,108.0687483,4.94
13,Oc1ccc(O)cc1,225,acetonitrile,photochemCAD,Hydroquinone,110.0367794,5.51
14,Clc1ccccc1,265,cyclohexane,photochemCAD,chlorobenzene,112.0079778,4.679
15,c1ccc2n[nH]nc2c1,253,ethanol,photochemCAD,benzotriazole,119.0483472,4.901
16,CC(=O)c1ccccn1,227,cyclohexane,photochemCAD,2-acetylpyridine,121.0527638,5.462
17,CN(C)c1ccccc1,251,cyclohexane,photochemCAD,"N,N-dimethyl-aniline",121.0891494,4.94
18,O=C(O)c1ccccc1,227,methanol,photochemCAD,benzoic acid,122.0367794,5.462
19,CN(C)c1ccncc1,257,acetonitrile,photochemCAD,4-dimethylaminopyridine,122.0843983,4.824
20,O=[N+]([O-])c1ccccc1,258,ethanol,photochemCAD,nitrobenzene,123.0320284,4.806
21,Cc1cc(=O)[nH]c(=O)[nH]1,259,ethanol,photochemCAD,"2,4-dihydroxy-6-methylpyrimidine",126.0429274,4.787
22,C#Cc1ccc(C#C)cc1,274,chloroform,photochemCAD,"1,4-diethynylbenzene",126.0469502,4.525
23,N#CC(C#N)=C(C#N)C#N,267,chloroform,photochemCAD,tetracyanoethylene,128.012296,4.644
24,c1ccc2ccccc2c1,275,cyclohexane,photochemCAD,naphthalene,128.0626003,4.509
25,O=CC#Cc1ccccc1,277,ethanol,photochemCAD,phenylpropargyl aldehyde,130.0418648,4.476
26,Cc1nc2ccccc2o1,231.75,cyclohexane,photochemCAD,2-methylbenzoxazole,133.0527638,5.35
27,Cc1cc(C)c(C)cc1C,278,cyclohexane,photochemCAD,durene,134.1095504,4.46
28,c1ccc2scnc2c1,217,ethanol,photochemCAD,benzothiazole,135.0142702,5.714
29,Nc1ncnc2nc[nH]c12,261,water,photochemCAD,adenine,135.0544952,4.75
30,Nc1ccc2ccccc2c1,239,acetonitrile,photochemCAD,2-aminonaphthalene,143.0734993,5.188
31,O=c1ccc2ccccc2o1,275,ethanol,photochemCAD,coumarin,146.0367794,4.509
32,O=C1NC(=O)c2ccccc21,215,ethanol,photochemCAD,phthalimide,147.0320284,5.767
33,COc1cc(C=O)ccc1O,222,cyclohexane,photochemCAD,vanillin,152.0473441,5.585
34,c1ccc(-c2ccccc2)cc1,247.5,cyclohexane,photochemCAD,biphenyl,154.0782503,5.009
35,c1ccc(-c2ccccn2)nc1,281,acetonitrile,photochemCAD,"2,2'-bipyridine",156.0687483,4.412
36,O=C1C=Cc2ccccc2C1=O,249,methanol,photochemCAD,"1,2-Naphthoquinone",158.0367794,4.979
37,O=C1C=CC(=O)c2ccccc21,246,ethanol,photochemCAD,"1,4-naphthoquinone",158.0367794,5.04
38,Nc1cc2ccccc2cc1N,245,methanol,photochemCAD,"2,3-diaminonaphthalene",158.0843983,5.061
39,O=c1ccc2ccc(O)cc2o1,326,ethanol,photochemCAD,7-Hydroxycoumarin,162.0316941,3.803
40,O=c1cc(O)c2ccccc2o1,280,ethanol,photochemCAD,4-Hydroxycoumarin,162.0316941,4.428
41,CC1=C(C)C(=O)C(C)=C(C)C1=O,270,acetonitrile,photochemCAD,"2,3,5,6-tetramethyl-1,4-benzoquinone",164.0837296,4.592
42,CC1=CC(=O)c2ccccc2C1=O,251,ethanol,photochemCAD,"2-methyl-1,4-naphthoquinone",172.0524295,4.94
43,O=C(O)c1cccc2cccnc12,219,ethanol,photochemCAD,8-quinoline-carboxylic-acid,173.0476785,5.661
44,Cc1cc(=O)[nH]c2cc(N)ccc12,219,water,photochemCAD,carbostyril 124,174.0793129,5.661
45,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,265,water,photochemCAD,L-ascorbic acid,176.032088,4.679
46,C(#Cc1ccccc1)c1ccccc1,278.75,ethanol,photochemCAD,"1,2-diphenylacetylene",178.0782503,4.448
47,c1ccc2nc3ccccc3cc2c1,356,ethanol,photochemCAD,acridine,179.0734993,3.483
48,c1ccc2nc3ccccc3nc2c1,248,ethanol,photochemCAD,phenazine,180.0687483,4.999
49,C(=C/c1ccccc1)\c1ccccc1,293.75,hexane,photochemCAD,trans-stilbene,180.0939004,4.221
50,C(=C\c1ccccc1)\c1ccccc1,276,hexane,photochemCAD,cis-stilbene,180.0939004,4.492
51,O=C(c1ccccc1)c1ccccc1,252,ethanol,photochemCAD,benzophenone,182.0731649,4.92
52,c1ccc(/N=N/c2ccccc2)cc1,319,benzene,photochemCAD,azobenzene,182.0843983,3.887
53,c1ccc2c(c1)Nc1ccccc1O2,239,ethanol,photochemCAD,phenoxazine,183.0684139,5.188
54,c1ccc(CNc2ccccc2)cc1,245,cyclohexane,photochemCAD,N-phenylbenzylamine,183.1047994,5.061
55,Nc1ccc(-c2ccc(N)cc2)cc1,206,ethanol,photochemCAD,benzidine,184.1000484,6.019
56,Fc1c(F)c(F)c(F)c(F)c1F,230,ethanol,photochemCAD,hexafluorobenzene,185.9904193,5.391
57,CCOC(=O)c1ccc(N(C)C)cc1,310.25,ethanol,photochemCAD,ethyl 4-(dimethylamino)benzoate,193.1102787,3.996
58,O=C1OC(=O)c2cccc3cccc1c23,231,acetonitrile,photochemCAD,"1,8-naphthalic anhydride",198.0316941,5.367
59,O=[N+]([O-])c1ccc(Cl)c2nonc12,336,ethanol,photochemCAD,4-chloro-7-nitrobenzofurazan,198.9784686,3.69
60,c1ccc2c(c1)Nc1ccccc1S2,253,cyclohexane,photochemCAD,phenothiazine,199.0455703,4.901
61,c1ccc2c(c1)Oc1ccccc1S2,237,ethanol,photochemCAD,phenoxathiin,200.0295859,5.231
62,C(C#Cc1ccccc1)#Cc1ccccc1,305,ethanol,photochemCAD,"1,4-diphenylbutadiyne",202.0782503,4.065
63,N#CC(C#N)=c1ccc(=C(C#N)C#N)cc1,401,chloroform,photochemCAD,"7,7,8,8-tetracyanoquinodimethane",204.0435961,3.092
64,C(/C=C/c1ccccc1)=C\c1ccccc1,330,hexane,photochemCAD,"1,4-diphenylbutadiene",206.1095504,3.757
65,O=C1C(=O)c2ccccc2-c2ccccc21,268,chloroform,photochemCAD,"9,10-phenanthrenequinone",208.0524295,4.626
66,O=C(/C=C/c1ccccc1)c1ccccc1,302,cyclohexane,photochemCAD,trans-chalcone,208.088815,4.105
67,O=C/C=C1/C=C(C(=O)O)N[C@H](C(=O)O)C1,424,water,photochemCAD,betalamic acid,211.0480724,2.924
68,Cc1cc(-c2ccc(N)c(C)c2)ccc1N,209,ethanol,photochemCAD,"3,3'-dimethylbenzidine",212.1313485,5.932
69,O=C(c1ccc(O)cc1)c1ccc(O)cc1,283,chloroform,photochemCAD,"4,4'-dihydroxybenzophenone",214.0629942,4.381
70,CC(C)(C)C1=CC(=O)C(C(C)(C)C)=CC1=O,258,acetonitrile,photochemCAD,"2,5-di-tert-butyl-1,4-benzoquinone",220.1463299,4.806
71,c1ccc(-c2cnc(-c3ccccc3)o2)cc1,302.75,cyclohexane,photochemCAD,"2,5-diphenyloxazole",221.084064,4.095
72,CCOC(=O)c1ccccc1C(=O)OCC,225,ethanol,photochemCAD,diethyl phthalate,222.0892089,5.51
73,N#CC1=C(C#N)C(=O)C(Cl)=C(Cl)C1=O,287,chloroform,photochemCAD,"2,3-dichloro-5,6-dicyano-1,4-benzoquinone",225.9336826,4.32
74,O=C1C(Cl)=C(Cl)C(=O)c2ccccc21,280,ethanol,photochemCAD,"2,3-dichloro-1,4-naphthoquinone",225.9588347,4.428
75,c1ccc2cc3cc4ccccc4cc3cc2c1,475,benzene,photochemCAD,tetracene,228.0939004,2.61
76,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,384,ethanol,photochemCAD,Coumarin 151,229.0350631,3.229
77,O=c1cc(C(F)(F)F)c2ccc(O)cc2o1,338,ethanol,photochemCAD,7-Hydroxy-4-(trifluoromethyl)coumarin,230.0190787,3.668
78,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,276.25,cyclohexane,photochemCAD,p-terphenyl,230.1095504,4.488
79,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,373.25,ethanol,photochemCAD,Coumarin 1,231.1259288,3.322
80,O=C1c2ccccc2C(=O)c2c1ccc(O)c2O,431,ethanol,photochemCAD,alizarin,240.0422587,2.877
81,Cc1cc(-c2cc(C)c(N)c(C)c2)cc(C)c1N,212,ethanol,photochemCAD,"3,3',5,5'-tetramethylbenzidine",240.1626486,5.848
82,O=C1C(Cl)=C(Cl)C(=O)C(Cl)=C1Cl,288,acetonitrile,photochemCAD,"2,3,5,6-tetrachloro-1,4-benzoquinone",243.86524,4.305
83,Oc1c(Cl)c(Cl)c(O)c(Cl)c1Cl,211,acetonitrile,photochemCAD,tetrachlorohydroquinone,245.88089,5.876
84,Oc1ccc2ccccc2c1/N=N/c1ccccc1,481,ethanol,photochemCAD,Sudan I,248.094963,2.578
85,O=C1c2ccccc2C(=O)c2cc3ccccc3cc21,296,benzene,photochemCAD,"5,12-naphthacenequinone",258.0680796,4.189
86,O=C1C=C(c2ccccc2)C(=O)C=C1c1ccccc1,346,acetonitrile,photochemCAD,"2,5-diphenyl-1,4-benzoquinone",260.0837296,3.583
87,O=C1OC(=O)c2ccc3c4c(ccc1c24)C(=O)OC3=O,365,acetonitrile,photochemCAD,"1,4,5,8-naphthalenetetracarboxylic-dianhydride",268.0007878,3.397
88,CN(C)c1ccc(/C=C/c2ccc([N+](=O)[O-])cc2)cc1,432.25,benzene,photochemCAD,4-dimethylamino-4'-nitrostilbene,268.1211778,2.868
89,O=[N+]([O-])c1ccc(NCc2ccccc2)c2nonc12,460.5,ethanol,photochemCAD,"7-benzylamino-4-nitrobenz-2-oxa-1,3-diazole",270.0752902,2.692
90,N=C(N)c1ccc(-c2cc3ccc(C(=N)N)cc3[nH]2)cc1,344,water,photochemCAD,"4',6-diamidino-2-phenylindole",277.1327455,3.604
91,c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1,301,dimethylformamide,photochemCAD,pentacene,278.1095504,4.119
92,CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=O,372,ethanol,photochemCAD,all-trans-retinal,284.2140155,3.333
93,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,278,acetonitrile,photochemCAD,(R)-BINOL,286.0993797,4.46
94,OCc1ccccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,212,ethanol,photochemCAD,D-(-)-salicin,286.1052529,5.848
95,c1ccc(-c2cc(-c3ccccc3)cc(-c3ccccc3)c2)cc1,251,cyclohexane,photochemCAD,"1,3,5-triphenylbenzene",306.1408506,4.94
96,C1=Cc2cc3ccc(cc4ccc(cc5nc(cc1n2)C=C5)[nH]4)[nH]3,396.25,toluene,photochemCAD,H2P,310.1218464,3.129
97,CCOC(=O)c1cc2cc3c4c(c2oc1=O)CCCN4CCC3,436,ethanol,photochemCAD,coumarin 314,313.1314081,2.844
98,CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,519.4,dioxane,photochemCAD,nile red,318.1368278,2.387
99,CCN(CC)c1ccc2cc(-c3nc4ccccc4[nH]3)c(=O)oc2c1,436,ethanol,photochemCAD,coumarin 7,333.1477268,2.844
100,CCN(CC)c1ccc2cc(-c3nc4ccccc4n3C)c(=O)oc2c1,407.5,acetonitrile,photochemCAD,Coumarin 30,347.1633769,3.043
101,Oc1ccc2ccccc2c1/N=N/c1ccc(/N=N/c2ccccc2)cc1,504,ethanol,photochemCAD,Sudan III,352.1324111,2.46
102,c1ccc(-c2cnc(-c3ccc(-c4ncc(-c5ccccc5)o4)cc3)o2)cc1,359,cyclohexane,photochemCAD,"1,4-bis(5-phenyl-2-oxazolyl)benzene",364.1211778,3.454
103,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,425,ethanol,photochemCAD,curcumin,368.1259884,2.917
104,Cc1ccccc1/N=N/c1ccc(/N=N/c2c(O)ccc3ccccc23)c(C)c1,518,ethanol,photochemCAD,Sudan IV,380.1637113,2.394
105,CCOc1ccc(N(c2ccc(OCC)cc2)c2ccc(C(n3cccn3)n3cccn3)cc2)cc1,296,dimethylformamide,set-ref-1,L2,479.2321252,4.189
106,c1ccc(N(c2ccccc2)c2ccc(C(n3cccn3)n3cccn3)cc2)cc1,299,dimethylformamide,set-ref-1,L1,391.1796957,4.147
107,Oc1ccccc1-c1sc(-c2ccc(C(F)(F)F)cc2)nc1O,373,dioxane,set-ref-2,1f,337.0384342,3.324
108,Oc1ccccc1-c1sc(-c2cccs2)nc1O,378,dioxane,set-ref-2,1h,275.0074705,3.28
109,Oc1nc(-c2ccccc2)sc1-c1ccccc1,362,dioxane,set-ref-2,2,253.056135,3.425
110,COc1ccc(-c2nc(O)c(-c3ccccc3O)s2)cc1,357,dioxane,set-ref-2,1a,299.0616143,3.473
111,Oc1ccccc1-c1sc(-c2ccccn2)nc1O,377,dioxane,set-ref-2,1g,270.0462986,3.289
112,Cc1ccc(-c2nc(O)c(-c3ccccc3O)s2)cc1,359,dioxane,set-ref-2,1b,283.0666997,3.454
113,Oc1ccccc1-c1sc(-c2ccccc2)nc1O,360,dioxane,set-ref-2,1c,269.0510496,3.444
114,Oc1ccccc1-c1sc(-c2ccc(Cl)cc2)nc1O,365,dioxane,set-ref-2,1d,303.0120772,3.397
115,Oc1ccccc1-c1sc(-c2cccc(Cl)c2)nc1O,368,dioxane,set-ref-2,1e,303.0120772,3.369
116,COc1ccc(/C=N/CC/N=C/c2ccc(OC)cc2)cc1,256,dichloromethane,set-ref-3,4-mbzen,296.1524779,4.843
117,COc1ccccc1/C=N/CC/N=C/c1ccccc1OC,246,dichloromethane,set-ref-3,2-mbzen,296.1524779,5.04
118,Cc1ccc(/C=N/CC/N=C/c2ccc(C)cc2)cc1,246,dichloromethane,set-ref-3,4-m'bzen,264.1626486,5.04
119,Nc1nn2c(-c3ccccc3)ccnc2c1/N=N/c1ccc(Cl)cc1,375,cyclohexane,set-ref-4,III,348.0890221,3.306
120,CC(C)CN1C(=O)c2cccc3c(N4CCCC4)ccc(c23)C1=O,441,dichloromethane,set-ref-5,4h,322.1681279,2.811
121,CC(C)CN1C(=O)c2cccc3c(SCc4ccccc4)ccc(c23)C1=O,385,dichloromethane,set-ref-5,4n,375.1292999,3.22
122,CC(C)CN1C(=O)c2cccc3c(N4CCOCC4)ccc(c23)C1=O,392,dichloromethane,set-ref-5,4g,338.1630426,3.163
123,N#Cc1c(N)nc(N)c(C#N)c1-c1ccccc1Cl,336,tetrahydrofuran,set-ref-6,6j,269.0468229,3.69
124,N#Cc1c(N)nc(N)c(C#N)c1-c1c(F)cccc1Cl,338,tetrahydrofuran,set-ref-6,6o,287.0374011,3.668
125,CCc1ccccc1-c1c(C#N)c(N)nc(N)c1C#N,332,tetrahydrofuran,set-ref-6,6k,263.1170954,3.734
126,N#Cc1c(N)nc(N)c(C#N)c1-c1cccc([N+](=O)[O-])c1,336,water,set-ref-6,6i,280.0708735,3.69
127,N#Cc1c(N)nc(N)c(C#N)c1-c1ccc(O)cc1,334,tetrahydrofuran,set-ref-6,6h,251.0807099,3.712
128,Cc1ccc(-c2c(C#N)c(N)nc(N)c2C#N)cc1,333,water,set-ref-6,6g,249.1014454,3.723
129,N#Cc1c(N)nc(N)c(C#N)c1-c1c2ccccc2cc2ccccc12,386,water,set-ref-6,6d,335.1170954,3.212
130,N#Cc1c(N)nc(N)c(C#N)c1-c1cccc2ccccc12,333,water,set-ref-6,6c,285.1014454,3.723
131,N#Cc1c(N)nc(N)c(C#N)c1-c1ccc(Cl)cc1,335,water,set-ref-6,6e,269.0468229,3.701
132,N#Cc1c(N)nc(N)c(C#N)c1-c1ccc(Cl)cc1Cl,329,tetrahydrofuran,set-ref-6,6n,303.0078506,3.769
133,N#Cc1c(N)nc(N)c(C#N)c1-c1ccccc1,336,water,set-ref-6,6a,235.0857953,3.69
134,N#Cc1ccccc1-c1c(C#N)c(N)nc(N)c1C#N,489,tetrahydrofuran,set-ref-6,6m,260.0810443,2.535
135,N#Cc1c(N)nc(N)c(C#N)c1-c1ccc(F)cc1,334,water,set-ref-6,6f,253.0763735,3.712
136,N#Cc1c(N)nc(N)c(C#N)c1-c1ccccc1O,368,tetrahydrofuran,set-ref-6,6l,251.0807099,3.369
137,COC(=O)c1c(C(=O)OC)c2cccnn2c1C(=O)c1ccc(F)cc1,335,chloroform,set-ref-7,2d,356.0808497,3.701
138,CCOC(=O)c1cc(C(N)=O)n2ncccc12,370,chloroform,set-ref-7,3c,233.0800412,3.351
139,CCOC(=O)c1cc(C(=O)c2ccc(Cl)cc2)n2ncccc12,332,chloroform,set-ref-7,3e,328.06147,3.734
140,COC(=O)C1=C(C(N)=O)N2N=Cc3ccccc3C2C1C(=O)OC,375,ethanol,set-ref-7,2g,329.1011706,3.306
141,CCOC(=O)c1cc(C(=O)OC)c2c3ccccc3cnn12,320,chloroform,set-ref-7,3h,298.0953569,3.875
142,CCOC(=O)c1c(C(=O)OC)c(C(=O)OC)c2cccnn12,352,chloroform,set-ref-7,2b,306.0851862,3.522
143,CCOC(=O)c1cc(C(=O)c2ccc(F)cc2)n2ncccc12,335,chloroform,set-ref-7,3d,312.0910205,3.701
144,CCOC(=O)c1cc(C(=O)c2ccc(C)cc2)n2ncccc12,334,chloroform,set-ref-7,3f,308.1160924,3.712
145,COC(=O)c1c(C(=O)OC)c2cccnn2c1C(=O)c1ccc(C)cc1,333,chloroform,set-ref-7,2f,352.1059216,3.723
146,N#CC1CC(C(N)=O)N2N=Cc3ccccc3C12,316,ethanol,set-ref-7,4c,240.101111,3.924
147,CCOC(=O)C1CC(C#N)=C2C=CC=NN21,484,ethanol,set-ref-7,5d,217.0851266,2.562
148,COC(=O)C1CC(C#N)=C2C=CC=NN21,485,ethanol,set-ref-7,5c,203.0694765,2.556
149,N#CC1CC(C(N)=O)N2N=CC=CC12,326,ethanol,set-ref-7,4b,190.0854609,3.803
150,COC(=O)c1c(C(=O)OC)c2cccnn2c1C(=O)c1ccc(Cl)cc1,334,chloroform,set-ref-7,2e,372.0512992,3.712
151,COC(=O)c1cc(C(N)=O)n2ncc3ccccc3c12,322,chloroform,set-ref-7,3i,269.0800412,3.85
152,CCOC(=O)c1c(C(=O)OC)c(C(=O)OC)c2c3ccccc3cnn12,314,ethanol,set-ref-7,2h,356.1008362,3.949
153,COC(=O)c1c(C(=O)OC)c2cccnn2c1C(=O)OC,351,chloroform,set-ref-7,2a,292.0695361,3.532
154,CCOC(=O)c1c(C(=O)OCC)c2cccnn2c1C(N)=O,362,chloroform,set-ref-7,2c,305.1011706,3.425
155,COC(=O)c1cc(C(=O)OC)n2ncc3ccccc3c12,315,ethanol,set-ref-7,3g,284.0797069,3.936
156,COC(=O)C1=C2C=CC=NN2C(C(=O)OC)C1,470,ethanol,set-ref-7,5a,236.0797069,2.638
157,COC(=O)c1cc(C(=O)OC)n2ncccc12,357,chloroform,set-ref-7,3a,234.0640568,3.473
158,COc1ccc(-c2ccc(/N=N/c3ncc(C)s3)s2)s1,540,dimethylsulfoxide,set-ref-8,5b,321.006425,2.296
159,Cc1cnc(/N=N/c2sc(-c3cccs3)cc2-c2ncc(C)s2)s1,533,dioxane,set-ref-8,14,387.9944804,2.326
160,c1csc(-c2cc(/N=N/c3nccs3)c(N3CCCCC3)s2)c1,531,dimethylsulfoxide,set-ref-8,4e,360.0537095,2.335
161,O=Cc1cnc(/N=N/c2ccc(-c3cccs3)s2)s1,535,dimethylsulfoxide,set-ref-8,6a,304.9751248,2.317
162,Cc1cnc(/N=N/c2ccc(-c3cccs3)s2)s1,501,dimethylsulfoxide,set-ref-8,5a,290.9958603,2.475
163,CCN(CC)c1sc(-c2cccs2)cc1/N=N/c1nccs1,524,dimethylsulfoxide,set-ref-8,4d,348.0537095,2.366
164,c1csc(-c2ccc(/N=N/c3nccs3)s2)c1,497,dimethylsulfoxide,set-ref-8,4a,276.9802102,2.495
165,COc1ccc(-n2c(/N=N/c3ncc(C=O)s3)ccc2-c2cccs2)cc1,565,dimethylsulfoxide,set-ref-8,12c,394.0558177,2.194
166,O=Cc1cnc(-c2ccc(-c3cccs3)s2)s1,396,dioxane,set-ref-8,15a,276.9689768,3.131
167,c1csc(-c2ccc(/N=N/c3nc4ccccc4s3)s2)c1,517,dimethylsulfoxide,set-ref-8,7a,326.9958603,2.398
168,CCOc1ccc(-c2ccc(/N=N/c3nccs3)s2)s1,531,dimethylsulfoxide,set-ref-8,4c,321.006425,2.335
169,COc1ccc(-c2ccc(/N=N/c3nccs3)s2)s1,536,dimethylsulfoxide,set-ref-8,4b,306.9907749,2.313
170,CCOc1ccc(-c2ccc(/N=N/c3ncc(C)s3)s2)s1,535,dimethylsulfoxide,set-ref-8,5c,335.022075,2.317
171,Nc1c(/N=N/c2ccccc2Cl)c(=O)[nH]c2nc3ccccc3n12,412,chloroform,set-ref-9,4,338.0682867,3.009
172,CCCn1c(/N=N/c2ccc3ncsc3c2)ccc1-c1cccs1,464,dimethylsulfoxide,set-ref-10,7a,352.0816385,2.672
173,c1csc(-c2ccc(/N=N/c3nc4ccccc4s3)n2-c2cccc3ccccc23)c1,528,dimethylsulfoxide,set-ref-10,5d,436.0816385,2.348
174,COc1ccc(-n2c(/N=N/c3nc4ccccc4s3)ccc2-c2cccs2)cc1,530,dimethylsulfoxide,set-ref-10,5b,416.0765531,2.339
175,Fc1ccc(-n2c(/N=N/c3ccc4ncsc4c3)ccc2-c2cccs2)cc1,468,dimethylsulfoxide,set-ref-10,7c,404.0565666,2.649
176,Fc1ccc(-n2c(/N=N/c3nc4ccccc4s3)ccc2-c2cccs2)cc1,526,dimethylsulfoxide,set-ref-10,5c,404.0565666,2.357
177,CCCn1c(/N=N/c2nc3ccc(C)cc3s2)ccc1-c1cccs1,520,dimethylsulfoxide,set-ref-10,6a,366.0972886,2.384
178,COc1ccc(-n2c(/N=N/c3ccc4ncsc4c3)ccc2-c2cccs2)cc1,474,dimethylsulfoxide,set-ref-10,7b,416.0765531,2.616
179,CCCn1c(/N=N/c2nc3ccccc3s2)ccc1-c1cccs1,519,dimethylsulfoxide,set-ref-10,5a,352.0816385,2.389
180,CCOC(=O)C(=CNc1ccc(O)c(-c2nc3ccccc3o2)c1)C(=O)OCC,318,chloroform,set-ref-11,2a,396.1321364,3.899
181,CCOC(=O)c1c[nH]c2cc(-c3nc4ccccc4s3)c(O)cc2c1=O,442,chloroform,set-ref-11,3b,366.0674279,2.805
182,CCOC(=O)c1c[nH]c2cc(-c3nc4ccccc4o3)c(O)cc2c1=O,429,chloroform,set-ref-11,3a,350.0902715,2.89
183,CCOC(=O)C(=CNc1ccc(O)c(-c2nc3ccccc3s2)c1)C(=O)OCC,321,chloroform,set-ref-11,2b,412.1092927,3.862
184,Oc1ccc(/N=N/c2nc(-c3ccccc3)cs2)c2cccnc12,516,chloroform,set-ref-12,II-5,332.073182,2.403
185,Oc1ccc(/N=N/c2nc3ccccc3s2)c2cccnc12,562,dimethylformamide,set-ref-12,II-8,306.0575319,2.206
186,CSc1ccccc1/N=N/c1nc2ccccc2s1,330,dichloromethane,set-ref-13,3h,285.0394394,3.757
187,COc1ccc(/N=N/c2nc3ccccc3s2)cc1,368,dichloromethane,set-ref-13,3g,269.062283,3.369
188,COc1ccccc1/N=N/c1nc2ccccc2s1,370,dichloromethane,set-ref-13,3f,269.062283,3.351
189,COc1ccc(/N=N/c2nc3ccc([N+](=O)[O-])cc3s2)cc1,404,dichloromethane,set-ref-13,3v,314.0473612,3.069
190,CC(=O)Nc1ccc(/N=N/c2nc3ccccc3s2)cc1,371,dichloromethane,set-ref-13,3e,296.073182,3.342
191,O=[N+]([O-])c1ccc2nc(/N=N/c3cccc(CO)c3)sc2c1,346,dichloromethane,set-ref-13,3r,314.0473612,3.583
192,CC(=O)Nc1ccccc1/N=N/c1nc2ccc([N+](=O)[O-])cc2s1,353,dichloromethane,set-ref-13,3s,341.0582602,3.512
193,O=[N+]([O-])c1ccc2nc(/N=N/c3ccc(F)cc3)sc2c1,348,dichloromethane,set-ref-13,3o,302.0273747,3.563
194,O=[N+]([O-])c1ccc2nc(/N=N/c3cccc(Cl)c3)sc2c1,337,dichloromethane,set-ref-13,3m,317.9978241,3.679
195,CSc1ccc(/N=N/c2nc3ccccc3s2)cc1,397,dichloromethane,set-ref-13,3i,285.0394394,3.123
196,c1ccc(/N=N/c2nc3ccccc3s2)cc1,328,dichloromethane,set-ref-13,3a,239.0517183,3.78
197,CC(=O)Nc1ccccc1/N=N/c1nc2ccccc2s1,334,dichloromethane,set-ref-13,3d,296.073182,3.712
198,CSc1ccc(/N=N/c2nc3ccc([N+](=O)[O-])cc3s2)cc1,431,dichloromethane,set-ref-13,3y,330.0245176,2.877
199,O=[N+]([O-])c1ccc2nc(/N=N/c3ccccc3)sc2c1,343,dichloromethane,set-ref-13,3j,284.0367965,3.615
200,OCc1cccc(/N=N/c2nc3ccccc3s2)c1,330,dichloromethane,set-ref-13,3c,269.062283,3.757
201,Clc1ccccc1/N=N/c1nc2ccccc2s1,348,dichloromethane,set-ref-13,3b,273.0127459,3.563
202,CSc1ccccc1/N=N/c1nc2ccc([N+](=O)[O-])cc2s1,346,dichloromethane,set-ref-13,3x,330.0245176,3.583
203,O=[N+]([O-])c1ccc(/N=N/c2nc3ccc([N+](=O)[O-])cc3s2)cc1,334,dichloromethane,set-ref-13,3q,329.0218747,3.712
204,CC(=O)Nc1ccc(/N=N/c2nc3ccc([N+](=O)[O-])cc3s2)cc1,405,dichloromethane,set-ref-13,3t,341.0582602,3.061
205,O=[N+]([O-])c1ccc2nc(/N=N/c3ccccc3Cl)sc2c1,347,dichloromethane,set-ref-13,3l,317.9978241,3.573
206,COc1ccccc1/N=N/c1nc2ccc([N+](=O)[O-])cc2s1,412,dichloromethane,set-ref-13,3u,314.0473612,3.009
207,NN1C(=O)c2cccc3cccc(c23)C1=O,340,chloroform,set-ref-14,,212.0585775,3.647
208,CCN(CC)c1cccc2c1C(=O)c1ccccc1C2=O,512,acetonitrile,set-ref-15,1-NEt2AQ,279.1259288,2.422
209,Nc1cccc2c1C(=O)c1ccccc1C2=O,466,acetonitrile,set-ref-15,1-AAQ,223.0633285,2.661
210,CN(C)c1ccc(N(C)C)c2c1C(=O)c1ccccc1C2=O,580,acetonitrile,set-ref-15,2,294.1368278,2.138
211,Nc1ccc(N)c2c1C(=O)c1ccccc1C2=O,544,acetonitrile,set-ref-15,"1,4-DAAQ",238.0742276,2.279
